timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-21 19:52:20,0,0,0,0,0,,,,
2017-07-21 19:52:21,2,0,0,6,9,,,rig-sac,
2017-07-21 19:52:22,0,0,0,0,0,,,,
2017-07-21 19:52:23,0,0,0,0,0,,,,
2017-07-21 19:52:24,0,0,0,0,0,,,,
2017-07-21 19:52:25,0,0,0,0,0,,,,
2017-07-21 19:52:26,0,0,0,0,0,,,,
2017-07-21 19:52:27,0,0,0,0,0,,,,
2017-07-21 19:52:28,0,0,0,0,0,,,,
2017-07-21 19:52:29,0,0,0,0,0,,,,
2017-07-21 19:52:30,0,0,0,0,0,,,,
2017-07-21 19:52:31,0,0,0,0,0,,,,
2017-07-21 19:52:32,0,1,1,0,0,,ku7sgxda,R,p4f3glnm
2017-07-21 19:52:33,0,0,0,0,0,,,,
2017-07-21 19:52:34,0,1,0,0,0,,7liogqhr,I,fxgey8o1
2017-07-21 19:52:35,0,0,0,0,0,,,,
2017-07-21 19:52:36,0,1,0,0,0,,7liogqhr,O,fxgey8o1
2017-07-21 19:52:37,0,1,0,0,0,,d8t8c8gp,A,fxgey8o1
2017-07-21 19:52:38,0,0,0,0,0,,,,
2017-07-21 19:52:39,1,0,0,3,4,,,rag,
2017-07-21 19:52:40,0,0,0,0,0,,,,
2017-07-21 19:52:41,0,0,0,0,0,,,,
2017-07-21 19:52:42,0,0,0,0,0,,,,
2017-07-21 19:52:43,0,0,0,0,0,,,,
2017-07-21 19:52:44,0,0,0,0,0,,,,
2017-07-21 19:52:45,0,0,0,0,0,,,,
2017-07-21 19:52:46,0,0,0,0,0,,,,
2017-07-21 19:52:47,0,0,0,0,0,,,,
2017-07-21 19:52:48,0,0,0,0,0,,,,
2017-07-21 19:52:49,0,0,1,0,0,R,ku7sgxda,,9d6txfsy
2017-07-21 19:52:50,0,0,0,0,0,,,,
2017-07-21 19:52:51,0,0,0,0,0,,,,
2017-07-21 19:52:52,0,2,0,0,0,,skya5ojd-pa7k4f93,Y-I,p4f3glnm-rqyhp29i
2017-07-21 19:52:53,0,0,0,0,0,,,,
2017-07-21 19:52:54,0,0,0,0,0,,,,
2017-07-21 19:52:55,0,0,0,0,0,,,,
2017-07-21 19:52:56,0,0,0,0,0,,,,
2017-07-21 19:52:57,0,1,0,0,0,,d8t8c8gp,A,bk4ieibh
2017-07-21 19:52:58,0,0,0,0,0,,,,
2017-07-21 19:52:59,0,0,0,0,0,,,,
2017-07-21 19:53:00,0,0,0,0,0,,,,
2017-07-21 19:53:01,0,0,0,0,0,,,,
2017-07-21 19:53:02,0,0,0,0,0,,,,
2017-07-21 19:53:03,0,0,0,0,0,,,,
2017-07-21 19:53:04,0,0,0,0,0,,,,
2017-07-21 19:53:05,0,1,1,0,0,,9d6txfsy,I,bk4ieibh
2017-07-21 19:53:06,0,0,0,0,0,,,,
2017-07-21 19:53:07,0,0,0,0,0,,,,
2017-07-21 19:53:08,0,0,1,0,0,I,9d6txfsy,,bk4ieibh
2017-07-21 19:53:09,0,1,1,0,0,I,9d6txfsy-9d6txfsy,D,bk4ieibh
2017-07-21 19:53:10,0,0,1,0,0,D,9d6txfsy,,bk4ieibh
2017-07-21 19:53:11,0,0,0,0,0,,,,
2017-07-21 19:53:12,0,0,0,0,0,,,,
2017-07-21 19:53:13,0,0,0,0,0,,,,
2017-07-21 19:53:14,0,0,1,0,0,A,ku7sgxda,,9d6txfsy
2017-07-21 19:53:15,0,0,0,0,0,,,,
2017-07-21 19:53:16,0,0,0,0,0,,,,
2017-07-21 19:53:17,0,0,0,0,0,,,,
2017-07-21 19:53:18,2,0,0,6,9,,,cas-rid,
2017-07-21 19:53:19,1,0,0,3,4,,,rad,
2017-07-21 19:53:20,0,0,0,0,0,,,,
2017-07-21 19:53:21,0,0,0,0,0,,,,
2017-07-21 19:53:22,0,0,0,0,0,,,,
2017-07-21 19:53:23,0,0,0,0,0,,,,
2017-07-21 19:53:24,0,0,0,0,0,,,,
2017-07-21 19:53:25,0,0,0,0,0,,,,
2017-07-21 19:53:26,0,0,0,0,0,,,,
2017-07-21 19:53:27,1,0,0,4,5,,,rids,
2017-07-21 19:53:28,0,0,0,0,0,,,,
2017-07-21 19:53:29,0,0,0,0,0,,,,
2017-07-21 19:53:30,0,0,0,0,0,,,,
2017-07-21 19:53:31,0,0,0,0,0,,,,
2017-07-21 19:53:32,2,0,0,8,10,,,rids-rods,
2017-07-21 19:53:33,0,0,0,0,0,,,,
2017-07-21 19:53:34,0,0,0,0,0,,,,
2017-07-21 19:53:35,0,0,0,0,0,,,,
2017-07-21 19:53:36,0,0,0,0,0,,,,
2017-07-21 19:53:37,1,0,0,3,6,,,hon,
2017-07-21 19:53:38,0,0,0,0,0,,,,
2017-07-21 19:53:39,0,0,0,0,0,,,,
2017-07-21 19:53:40,1,0,0,4,5,,,rods,
2017-07-21 19:53:41,0,0,0,0,0,,,,
2017-07-21 19:53:42,1,0,0,3,6,,,noh,
2017-07-21 19:53:43,0,0,0,0,0,,,,
2017-07-21 19:53:44,0,0,0,0,0,,,,
2017-07-21 19:53:45,0,0,0,0,0,,,,
2017-07-21 19:53:46,0,0,0,0,0,,,,
2017-07-21 19:53:47,0,0,0,0,0,,,,
2017-07-21 19:53:48,0,0,0,0,0,,,,
2017-07-21 19:53:49,0,0,0,0,0,,,,
2017-07-21 19:53:50,0,0,0,0,0,,,,
2017-07-21 19:53:51,0,0,0,0,0,,,,
2017-07-21 19:53:52,0,0,0,0,0,,,,
2017-07-21 19:53:53,0,0,0,0,0,,,,
2017-07-21 19:53:54,1,0,0,3,3,,,nun,
2017-07-21 19:53:55,0,0,1,0,0,G,ku7sgxda,,9d6txfsy
2017-07-21 19:53:56,0,0,0,0,0,,,,
2017-07-21 19:53:57,0,0,1,0,0,R,ku7sgxda,,p4f3glnm
2017-07-21 19:53:58,0,0,0,0,0,,,,
2017-07-21 19:53:59,0,0,0,0,0,,,,
2017-07-21 19:54:00,0,0,0,0,0,,,,
2017-07-21 19:54:01,0,0,0,0,0,,,,
2017-07-21 19:54:02,0,0,0,0,0,,,,
2017-07-21 19:54:03,0,0,0,0,0,,,,
2017-07-21 19:54:04,1,0,0,3,3,,,run,
2017-07-21 19:54:05,0,0,0,0,0,,,,
2017-07-21 19:54:06,0,0,0,0,0,,,,
2017-07-21 19:54:07,0,0,0,0,0,,,,
2017-07-21 19:54:08,0,0,0,0,0,,,,
2017-07-21 19:54:09,1,0,0,3,4,,,rag,
2017-07-21 19:54:10,0,0,0,0,0,,,,
2017-07-21 19:54:11,0,0,0,0,0,,,,
2017-07-21 19:54:12,1,0,0,4,5,,,door,
2017-07-21 19:54:13,0,0,0,0,0,,,,
2017-07-21 19:54:14,0,0,0,0,0,,,,
2017-07-21 19:54:15,1,0,0,3,6,,,roh,
2017-07-21 19:54:16,0,0,0,0,0,,,,
2017-07-21 19:54:17,0,0,0,0,0,,,,
2017-07-21 19:54:18,1,0,0,4,5,,,rags,
2017-07-21 19:54:19,0,0,0,0,0,,,,
2017-07-21 19:54:20,0,0,0,0,0,,,,
2017-07-21 19:54:21,0,0,0,0,0,,,,
2017-07-21 19:54:22,1,0,0,3,4,,,dis,
2017-07-21 19:54:23,2,0,0,6,10,,,sag-hor,
