timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-27 20:44:21,0,0,0,0,0,,,,
2017-07-27 20:44:22,0,0,0,0,0,,,,
2017-07-27 20:44:23,1,0,0,4,6,,,stab,
2017-07-27 20:44:24,1,0,0,4,6,,,cats,
2017-07-27 20:44:25,1,0,0,5,6,,,tread,
2017-07-27 20:44:26,1,0,0,6,7,,,treads,
2017-07-27 20:44:27,0,0,0,0,0,,,,
2017-07-27 20:44:28,1,0,0,4,6,,,tuba,
2017-07-27 20:44:29,1,0,0,4,6,,,cute,
2017-07-27 20:44:30,1,0,0,4,6,,,tube,
2017-07-27 20:44:31,0,0,0,0,0,,,,
2017-07-27 20:44:32,1,0,0,4,5,,,dart,
2017-07-27 20:44:33,0,0,0,0,0,,,,
2017-07-27 20:44:34,0,0,0,0,0,,,,
2017-07-27 20:44:35,1,0,0,5,7,,,tubes,
2017-07-27 20:44:36,0,0,0,0,0,,,,
2017-07-27 20:44:37,0,0,0,0,0,,,,
2017-07-27 20:44:38,1,0,0,3,3,,,rat,
2017-07-27 20:44:39,1,0,0,5,5,,,rates,
2017-07-27 20:44:40,1,0,0,3,5,,,bet,
2017-07-27 20:44:41,1,0,0,4,4,,,rate,
2017-07-27 20:44:42,0,1,0,0,0,,e8p2bgna,S,peh9x2qq
2017-07-27 20:44:43,0,0,0,0,0,,,,
2017-07-27 20:44:44,0,0,0,0,0,,,,
2017-07-27 20:44:45,1,0,0,7,9,,,tubaist,
2017-07-27 20:44:46,0,0,0,0,0,,,,
2017-07-27 20:44:47,0,0,0,0,0,,,,
2017-07-27 20:44:48,0,0,0,0,0,,,,
2017-07-27 20:44:49,1,0,0,6,7,,,daters,
2017-07-27 20:44:50,0,0,0,0,0,,,,
2017-07-27 20:44:51,1,0,0,6,6,,,statue,
2017-07-27 20:44:52,0,0,0,0,0,,,,
2017-07-27 20:44:53,0,0,0,0,0,,,,
2017-07-27 20:44:54,0,1,1,0,0,,v7hqx6y9,I,peh9x2qq
2017-07-27 20:44:55,0,0,0,0,0,,,,
2017-07-27 20:44:56,0,0,0,0,0,,,,
2017-07-27 20:44:57,2,0,0,8,8,,,suite-eon,
2017-07-27 20:44:58,0,0,0,0,0,,,,
2017-07-27 20:44:59,1,0,0,3,4,,,ted,
2017-07-27 20:45:00,0,0,0,0,0,,,,
2017-07-27 20:45:01,0,0,0,0,0,,,,
2017-07-27 20:45:02,0,1,1,0,0,,bica5cnd,L,h9em0uts
