session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,2,2,5,instructions_anagrams,Introduction,1502214557,7,37,False
1,2,2,6,instructions_anagrams,JoinTeamWaitPage,1502214784,227,37,False
1,2,2,7,instructions_anagrams,TeamSummary,1502214855,71,37,True
1,2,2,8,instructions_anagrams,DifiIndexBefore,1502214925,70,37,True
1,2,2,11,anagrams,WaitPage,1502215077,152,26,False
1,2,2,32,conclusion,Results,1502215108,31,37,False
1,3,3,1,welcome,Introduction,1502214547,13,37,False
1,3,3,2,demographic,Consent,1502214557,10,37,False
1,3,3,4,demographic,Demographic_Condensed,1502214571,14,37,False
1,3,3,5,instructions_anagrams,Introduction,1502214579,8,37,False
1,3,3,6,instructions_anagrams,JoinTeamWaitPage,1502214773,194,37,False
1,3,3,7,instructions_anagrams,TeamSummary,1502214786,13,37,False
1,3,3,8,instructions_anagrams,DifiIndexBefore,1502214799,13,37,False
1,3,3,9,instructions_anagrams,InstructionsPhase1,1502214881,82,37,False
1,3,3,10,instructions_anagrams,InstructionsPhase1_Quiz,1502214918,37,37,False
1,3,3,11,anagrams,WaitPage,1502215077,159,26,False
1,3,3,12,anagrams,Anagrams,1502215381,304,26,True
1,3,3,13,anagrams,ResultsWaitPage,1502215382,1,26,False
1,3,3,14,anagrams,Results,1502215391,9,26,False
1,3,3,15,anagrams,DifiIndexAfter,1502215402,11,26,False
1,3,3,16,ruse,Introduction,1502215414,12,37,False
1,3,3,17,ruse,OpinionPage,1502215427,13,37,False
1,3,3,18,ruse,WaitPage,1502215441,14,37,False
1,3,3,19,ruse,Results,1502215444,3,37,False
1,3,3,20,instructions_pgg,Introduction,1502215458,14,37,False
1,3,3,21,instructions_pgg,InstructionsPhase2,1502215489,31,37,False
1,3,3,22,instructions_pgg,InstructionsPhase2_Quiz,1502215527,38,37,False
1,3,3,23,public_goods,WaitPage,1502215531,4,37,False
1,3,3,24,public_goods,Contribute,1502215568,37,37,False
1,3,3,25,public_goods,ResultsWaitPage,1502215576,8,37,False
1,3,3,27,public_goods,DifiIndex,1502215599,23,37,False
1,3,3,28,public_goods,Results,1502215622,23,37,False
1,3,3,29,demographic_detailed,SurveyConsent,1502215637,15,37,False
1,3,3,30,demographic_detailed,Demographic,1502215745,108,37,False
1,3,3,31,demographic_detailed,Results,1502215749,4,37,False
1,3,3,32,conclusion,Results,1502215758,9,37,False
1,4,4,1,welcome,Introduction,1502214613,7,37,False
1,4,4,2,demographic,Consent,1502214769,156,37,True
1,4,4,3,demographic,ByeBye,1502214771,2,37,True
1,4,4,32,conclusion,Results,1502214844,73,37,True
1,5,5,1,welcome,Introduction,1502214634,26,37,False
1,5,5,2,demographic,Consent,1502214665,31,37,False
